params,silhouette,homogeneity,completeness,rand_index,entropy
"{'linkage': 'ward', 'n_clusters': 2}",0.46940124671234656,0.5203138349490025,0.9044186193432084,0.5339819642367372,0.6320336962478333
"{'linkage': 'ward', 'n_clusters': 3}",0.5784355946219157,0.8812555346890214,0.8813333314885162,0.9250069983108383,1.0985150622640776
"{'linkage': 'ward', 'n_clusters': 4}",0.4666166310386403,0.8827213685143924,0.727617938612109,0.8042500715225868,1.3327988092933394
"{'linkage': 'ward', 'n_clusters': 5}",0.35283097564631255,0.8922401510055651,0.6461827566150302,0.7199704254265322,1.5169482026654273
"{'linkage': 'ward', 'n_clusters': 6}",0.28332907197099017,0.8929827323638634,0.5784396760850986,0.616156038836546,1.696013639140686
"{'linkage': 'ward', 'n_clusters': 7}",0.29189207604497297,0.8955909481271255,0.5436815522811937,0.580672481787811,1.8097119410599802
"{'linkage': 'ward', 'n_clusters': 8}",0.29996826952798356,0.8967707078680633,0.49983725212032276,0.4995257069398575,1.9710477587897381
"{'linkage': 'ward', 'n_clusters': 9}",0.2990304686448373,0.8985312946619031,0.46118579997110315,0.40805277339897256,2.140432982672048
"{'linkage': 'ward', 'n_clusters': 10}",0.3114583618712669,0.8985447959374017,0.4416225208290007,0.3775998152747046,2.235284849624266
"{'linkage': 'complete', 'n_clusters': 2}",0.43580021285283344,0.46020903795371976,0.7701111152111781,0.5063515163680637,0.6565171952387594
"{'linkage': 'complete', 'n_clusters': 3}",0.5429374189037216,0.80334342923132,0.8051453148693881,0.8460994534408242,1.0961533852409286
"{'linkage': 'complete', 'n_clusters': 4}",0.4325533703452424,0.8381371735524299,0.6873385659330761,0.7666897507437113,1.339641967616099
"{'linkage': 'complete', 'n_clusters': 5}",0.3299606670456938,0.8381447495900454,0.6090991499768418,0.6854797321394532,1.5117340289280523
"{'linkage': 'complete', 'n_clusters': 6}",0.3183435956862412,0.838144749590045,0.552138559863512,0.616099453670442,1.6676899223245019
"{'linkage': 'complete', 'n_clusters': 7}",0.22490459858518858,0.8391239726027071,0.5106130075561348,0.5420469093618159,1.805421492518493
"{'linkage': 'complete', 'n_clusters': 8}",0.23420281344627672,0.8416208801123635,0.47602176290756976,0.4829083831038866,1.9423793256913195
"{'linkage': 'complete', 'n_clusters': 9}",0.23963224668290103,0.8445232371382921,0.4357467874453225,0.37718759132761315,2.129226013711682
"{'linkage': 'complete', 'n_clusters': 10}",0.23000426236843116,0.8445232371382921,0.4312928412929923,0.3733700633898159,2.1512144566053357
"{'linkage': 'average', 'n_clusters': 2}",0.46868874764853674,0.5285069978384791,0.9155529966278259,0.542180238344403,0.6341786357122057
"{'linkage': 'average', 'n_clusters': 3}",0.5638107476203855,0.8368127745132985,0.8392441125131067,0.8708239660602035,1.09542929697028
"{'linkage': 'average', 'n_clusters': 4}",0.5296877859820064,0.8368631768604494,0.8363935550931866,0.8701360620529195,1.0992288919294702
"{'linkage': 'average', 'n_clusters': 5}",0.4746525653124628,0.8369641997749414,0.8312734879940121,0.8687638137512986,1.1061328901405976
"{'linkage': 'average', 'n_clusters': 6}",0.41795607428905635,0.8369787915638432,0.8241449868539541,0.8664943006217956,1.1157199171921564
"{'linkage': 'average', 'n_clusters': 7}",0.33983793384148614,0.837018032938899,0.8085246614944437,0.860501359537726,1.1373284345271544
"{'linkage': 'average', 'n_clusters': 8}",0.31265518376277746,0.8370627650733683,0.7920485799770154,0.8538272719804044,1.1610490240664286
"{'linkage': 'average', 'n_clusters': 9}",0.2596671705294422,0.8970151340945118,0.7329043929638489,0.8511329185993541,1.3446114317327136
"{'linkage': 'average', 'n_clusters': 10}",0.2558411246629126,0.8980249878233413,0.6782047416920058,0.805985922893806,1.4546950234360012
"{'linkage': 'single', 'n_clusters': 2}",0.3065486303234419,0.0005006835149392532,0.12791051430272035,1.0010015012516262e-06,0.004300326208932443
"{'linkage': 'single', 'n_clusters': 3}",0.20318968886115601,0.0010018237469836468,0.12797257518295913,3.0045090112680215e-06,0.008600402292792032
"{'linkage': 'single', 'n_clusters': 4}",0.0725029233860385,0.0015013684373682697,0.12785986600750074,1.5052605204708355e-06,0.012900228126390812
"{'linkage': 'single', 'n_clusters': 5}",0.010059311723368148,0.0020013685892267315,0.1278344613100982,1.007015788820192e-06,0.017199803584415897
"{'linkage': 'single', 'n_clusters': 6}",-0.17872183055745222,0.0025004573619908715,0.12777413534049983,-1.4962428402430467e-06,0.021499128541428388
"{'linkage': 'single', 'n_clusters': 7}",-0.18480149655175543,0.00300068575856507,0.12778368768042142,-1.4939834285823496e-06,0.025798202871864077
"{'linkage': 'single', 'n_clusters': 8}",-0.2273648304774007,0.0035013713320578834,0.12780826383252444,-4.877070899135708e-07,0.03009702645003237
"{'linkage': 'single', 'n_clusters': 9}",-0.30327595516040967,0.004000458734096589,0.12777658287402627,-2.9939735950083124e-06,0.034395599150116994
"{'linkage': 'single', 'n_clusters': 10}",-0.31732112860363576,0.004369072308101312,0.11347627866688063,-5.49947660600742e-06,0.042298844231577024
