params,ssd,silhouette,homogeneity,completeness,rand_index,entropy,cohesion,separation
"{'max_iter': 100, 'n_clusters': 2}",63573.12038401244,0.470917942711275,0.516438439579181,0.8837118883826254,0.7639589794897449,0.6420254094007071,126.06855316058446,59043.0390749761
"{'max_iter': 100, 'n_clusters': 3}",25764.0546171563,0.583630063806235,0.9062231846398586,0.9062355611993298,0.9750855427713857,1.0985970347600729,53.503950650765866,96852.10484183225
"{'max_iter': 100, 'n_clusters': 4}",22587.20781679148,0.4731479486786803,0.8942258071438983,0.7332178095912533,0.9175457728864432,1.3398573031475722,37.57260289824845,100095.89457458904
"{'max_iter': 100, 'n_clusters': 5}",19591.400344227754,0.3933567196089873,0.907493375217097,0.6369873435102108,0.8721375687843922,1.5651537776138513,27.993856714806377,103047.86059668452
"{'max_iter': 100, 'n_clusters': 6}",16940.997191445036,0.30853655213778486,0.8993402576041893,0.5522550166628114,0.8191820910455228,1.789075705995074,21.692930998782014,105733.64515118227
"{'max_iter': 100, 'n_clusters': 7}",14824.251022783203,0.32113197285497086,0.8997700471274032,0.5112113347953221,0.7991570785392696,1.9336390617500532,17.393554414174258,107687.07405150452
"{'max_iter': 100, 'n_clusters': 8}",13065.27104507768,0.32044376490673565,0.8883811896206518,0.4718296006703661,0.7801855927963982,2.0685142865556534,14.287927074258839,109567.70416001136
"{'max_iter': 100, 'n_clusters': 9}",11351.059281582517,0.3325938943963929,0.9073558450220468,0.4539172468151458,0.7679019509754877,2.196065608111193,11.83792778912445,111240.38364133929
"{'max_iter': 100, 'n_clusters': 10}",10470.085249208065,0.3304595338567048,0.9026244468473941,0.43298762818253644,0.7586933466733367,2.2902134359529684,10.232343450651012,112146.07420978049
"{'max_iter': 200, 'n_clusters': 2}",63573.12038401244,0.470917942711275,0.516438439579181,0.8837118883826254,0.7639589794897449,0.6420254094007071,126.06855316058446,59043.039074976085
"{'max_iter': 200, 'n_clusters': 3}",25764.0546171563,0.583630063806235,0.9062231846398586,0.9062355611993298,0.9750855427713857,1.0985970347600729,53.503950650765866,96852.10484183226
"{'max_iter': 200, 'n_clusters': 4}",22587.20781679148,0.4731479486786803,0.8942258071438983,0.7332178095912533,0.9175457728864432,1.3398573031475722,37.57260289824845,100095.89457458902
